,name,id,team,position,mean_points,mean_minutes,mean_goals_scored,mean_assists,mean_clean_sheets,mean_goals_conceded,mean_own_goals,mean_saves,mean_bonus,mean_bps,mean_influence,mean_creativity,mean_threat,mean_ict,mean_xg,mean_xa,mean_xgi,mean_xgc,mean_opp_att,mean_opp_def,latest_points
0,Takehiro Tomiyasu,14,Arsenal,DEF,1.0,26.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,6.8,7.12,3.5799999999999996,0.8,1.1400000000000001,0.0,0.0074259999999999994,0.0074259999999999994,0.30744,1174.0,1198.0,6
0,Takehiro Tomiyasu,14,Arsenal,DEF,2.0,39.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,10.2,7.92,1.6800000000000002,0.0,0.9600000000000002,0.0,0.00533,0.00533,0.62776,1164.0,1204.0,2
0,Takehiro Tomiyasu,14,Arsenal,DEF,2.2,55.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,13.4,10.6,2.88,0.4,1.4000000000000001,0.0,0.013269999999999999,0.013269999999999999,0.73996,1156.0,1186.0,6
0,Takehiro Tomiyasu,14,Arsenal,DEF,3.2,66.6,0.0,0.0,0.4,0.6,0.0,0.0,0.0,18.0,12.040000000000001,6.0,4.0,2.2,0.0157,0.020574000000000002,0.036274,0.8093199999999999,1150.0,1180.0,0
0,Takehiro Tomiyasu,14,Arsenal,DEF,3.0,66.4,0.0,0.0,0.4,0.6,0.0,0.0,0.0,17.4,12.040000000000001,5.9799999999999995,4.0,2.2,0.0157,0.020566,0.036266,0.8093199999999999,1148.0,1172.0,0
0,Takehiro Tomiyasu,14,Arsenal,DEF,2.8,48.4,0.0,0.0,0.4,0.2,0.0,0.0,0.0,14.0,7.68,4.88,4.0,1.6600000000000001,0.0157,0.0189,0.0346,0.5833600000000001,1114.0,1116.0,0
0,Takehiro Tomiyasu,14,Arsenal,DEF,1.6,30.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,8.8,5.2,4.62,4.0,1.3800000000000001,0.0157,0.017382,0.033082,0.21234000000000003,1124.0,1114.0,0
0,Takehiro Tomiyasu,14,Arsenal,DEF,1.2,18.4,0.0,0.0,0.2,0.4,0.0,0.0,0.0,5.8,2.04,3.2600000000000002,3.6,0.8800000000000001,0.0157,0.007934,0.023634,0.23434,1134.0,1132.0,1
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,5.2,90.0,0.2,0.0,0.4,0.8,0.0,0.0,0.6,22.0,24.160000000000004,3.56,23.2,5.1000000000000005,0.2419,0.011399999999999999,0.25329999999999997,0.6474,1106.0,1098.0,1
0,Gabriel dos Santos Magalhães,16,Arsenal,DEF,4.0,90.0,0.2,0.0,0.2,1.4,0.0,0.0,0.4,19.4,22.119999999999997,3.6399999999999997,24.8,5.0600000000000005,0.24632,0.016282,0.262602,0.7154,1112.0,1116.0,6
